Titre,Description,Date d’entrée en vigueur,Responsables des normes référentielles relatives aux données,Formats lisibles à la machine (disponibles sur le portail du gouvernement ouvert)
"Norme référentielle relative aux données sur les noms officiels, anciens et actuels, des pays, territoires et zones géographiques reconnus par le gouvernement du Canada","Cette norme référentielle vise à normaliser la manière dont les noms officiels, anciens et actuels, des pays, territoires et zones géographiques sont décrits dans les jeux de données",2024-01-29,Affaires mondiales Canada,CSV|JSON
Norme référentielle relative aux données sur les provinces et les territoires du Canada,Cette norme référentielle visent à normaliser la description des provinces et des territoires canadiens dans les jeux de données.,2023-10-02,Statistique CanadaRessources naturelles Canada,CSV|JSON
Norme référentielle relative aux données sur le système de classification des industries,Cette norme référentielle vise à normaliser la description des classifications industrielles dans les jeux de données.,2023-12-15,Statistique Canada,CSV
Norme référentielle relative aux données sur le numéro d’entreprise,La présente Norme référentielle relative aux données vise à faire en sorte que les ministères et organismes utilisent le numéro d’entreprise (NE) comme identifiant normalisé pour toutes les opérations entre les entreprises et le gouvernement du Canada (GC).,2024-05-07,"ARCInnovation, Sciences et Développement économique Canada (ISDE)",
